0,5,쥐 잡아 기<>TN,15,1,
0,6,쥐 잡아 기<>TO,15,1,
0,13,탄환<>Y,15,1,
0,7,물<>SH,25,6,
0,2,지뢰<>TN,20,1,
0,5,지뢰<>TO,20,1,
1,8,쥐 잡아 기<>TN,15,1,
1,5,쥐 잡아 기<>TO,15,1,
1,30,탄환<>Y,10,1,
1,7,물<>SH,25,1,
1,4,지뢰<>TN,20,1,
1,2,지뢰<>TO,20,1,
2,1,부엌칼<>WK,15,∞,
2,6,컵<>WC,5,1,
2,1,재봉도구<>Y,3,1,
2,1,재봉도구<>Y,5,1,
2,1,재봉도구<>Y,10,1,
2,3,접시<>WC,10,1,
2,1,냄비<>WC,15,1,
2,4,냄비<>WC,10,1,
2,1,글래스<>WC,20,1,
2,4,글래스<>WC,10,1,
2,1,텔레비전<>WC,35,1,
2,1,테이블<>WC,30,1,
2,1,선반<>WC,30,1,
2,1,가보의 칼<>WK,45,∞,
2,6,빈병<>WC,10,1,
2,7,빈병<>WC,9,1,
2,6,빈 깡통<>WC,8,1,
2,4,부엌칼<>WK,15,∞,
2,8,숫돌<>Y,1,1,
2,4,숫돌<>Y,2,1,
2,2,숫돌<>Y,3,1,
3,14,피아노선<>TN,8,1,
3,24,피아노선<>TO,8,1,
4,16,피아노선<>TN,8,1,
4,13,지뢰<>TN,15,1,
4,12,지뢰<>TO,15,1,
5,28,탄환<>Y,10,1,
5,4,배터리<>Y,1,1,
5,35,물<>SH,25,2,
5,9,지뢰<>TN,15,1,
5,10,지뢰<>TO,15,1,
6,1,관음보살상<>WB,25,∞,
6,1,염라상<>WB,30,∞,
6,1,아수라상<>WB,28,∞,
6,1,지장보살상<>WB,25,∞,
6,12,제비<>Y,1,1,
7,25,물<>SH,25,2,
7,4,지뢰<>TN,15,1,
7,4,지뢰<>TO,15,1,
6,18,물<>SH,25,2,
6,5,숫돌<>Y,1,1,
8,12,제비<>Y,1,1,
8,5,지뢰<>TN,50,1,
8,5,지뢰<>TO,50,1,
9,5,부엌칼<>WK,15,∞,
9,1,컵<>WC,5,1,
9,3,접시<>WC,10,1,
9,5,냄비<>WC,10,1,
9,5,글래스<>WC,10,1,
9,1,텔레비전<>WC,20,1,
9,1,테이블<>WC,20,1,
9,1,선반<>WC,15,1,
9,1,가보의 칼<>WK,35,∞,
9,1,비료<>Y,1,1,
9,5,숫돌<>Y,1,1,
10,1,곡괭이<>WK,15,∞,
10,1,삽<>WBK,10,∞,
10,3,삽<>WBK,5,∞,
10,8,암석<>WC,10,1,
11,20,탄환<>Y,10,1,
11,6,못<>Y,1,1,
11,6,못<>Y,2,1,
11,6,못<>Y,3,1,
11,5,못<>Y,4,1,
12,5,부엌칼<>WK,15,∞,
12,1,컵<>WC,10,1,
12,3,접시<>WC,10,1,
12,5,냄비<>WC,10,1,
12,1,글래스<>WC,10,1,
12,1,텔레비전<>WC,20,1,
12,1,테이블<>WC,20,1,
12,1,재봉도구<>Y,3,1,
12,1,재봉도구<>Y,5,1,
12,1,재봉도구<>Y,10,1,
12,1,선반<>WC,15,1,
12,13,빈병<>WC,10,1,
12,8,컵<>WC,5,1,
12,1,카레가루<>SH,20,1,
12,1,간장<>SH,20,1,
12,1,소스<>SH,20,1,
12,8,숫돌<>Y,1,1,
12,4,숫돌<>Y,2,1,
12,2,숫돌<>Y,3,1,
13,1,목탁<>WC,12,1,
13,15,졸탑파<>WB,10,1,
14,5,숫돌<>Y,1,1,
14,20,탄환<>Y,10,1,
14,4,플라스크<>WC,8,1,
14,3,자루걸레<>WB,15,1,
14,6,상약<>HH,40,1,
14,5,흑판 지워<>WC,5,1,
14,1,인체모형<>WB,3,∞,
14,1,거대 삼각자<>WB,4,∞,
14,1,거대 컴퍼스<>WB,4,∞,
14,1,의자<>WB,4,∞,
14,5,지뢰<>TN,15,1,
14,6,지뢰<>TO,15,1,
15,20,제비<>Y,1,1,
16,12,독약<>Y,1,1,
16,1,겸<>WK,25,∞,
16,5,버섯<>SH,20,1,
16,5,버섯<>SD,20,1,
16,3,(*표고)버섯<>SH,25,1,
16,2,(*표고)버섯<>SD,25,1,
16,4,송이버섯<>SH,30,1,
16,4,송이버섯<>SD,30,1,
16,6,동물 잡아 기<>TN,20,1,
16,8,동물 잡아 기<>TO,20,1,
17,30,물<>SH,25,1,
18,1,부엌칼<>WK,25,∞,
18,1,컵<>WC,5,1,
18,8,분말주스<>HH,10,1,
18,3,접시<>WC,10,1,
18,5,냄비<>WC,10,1,
18,5,글래스<>WC,10,1,
18,1,텔레비전<>WC,20,1,
18,1,테이블<>WC,20,1,
18,1,선반<>WC,15,1,
18,5,컵<>WC,10,1,
18,4,부엌칼<>WK,15,∞,
18,8,숫돌<>Y,1,1,
18,4,숫돌<>Y,2,1,
18,2,숫돌<>Y,3,1,
19,37,상약<>HH,40,1,
19,28,영양 드링크<>SH,50,1,
19,12,해독제<>Y,1,1,
19,17,독약<>Y,1,1,
20,20,스튜<>SH,25,1,
