작업용 헬멧<>DH,25,10,
작업복<>DBN,40,10,
방화 헬멧<>DH,15,10,
간이 레이더-<>R1,1,∞,
방탄 조끼<>DB,25,30,
작업용 헬멧<>DH,25,10,
작업복<>DBN,40,10,
방화 헬멧<>DH,15,10,
간이 레이더-<>R1,1,∞,
휴대 전화<>Y,1,1,
버스터<>SH,20,1,
하이 나이트<>SH,20,1,
위스키<>HH,20,1,3
쿠키<>SH,20,1,
신관<>Y,1,∞,
휴대 게임기<>WB,2,1,
탄환<>Y,15,1,
물<>SH,25,6,
물<>SH,25,12,
탄환<>Y,15,1,
지뢰<>TN,20,1,
항탄 방패<>DA,5,5,
피로 물든 방패<>DA,7,5,
트렌치코트<>DB,15,15,
에이프런<>DB,5,15,
작업복<>DB,10,15,
무녀의 의상<>DB,10,15,
미채옷<>DB,15,15,
쵸밤아마<>DB,20,10,
트렌치코트<>DB,15,15,
에이프런<>DB,5,15,
작업복<>DB,10,15,
무녀의 의상<>DB,10,15,
미채옷<>DB,15,15,
쵸밤아마<>DB,20,10,
트렌치코트<>DB,15,15,
에이프런<>DB,5,15,
작업복<>DB,10,15,
무녀의 의상<>DB,10,15,
미채옷<>DB,15,15,
쵸밤아마<>DB,20,10,
밀짚모자자<>DH,5,5,
하치권<>DH,3,5,
두건<>DH,3,5,
밀짚모자자<>DH,5,5,
하치권<>DH,3,5,
두건<>DH,3,5,
밀짚모자자<>DH,5,5,
하치권<>DH,3,5,
두건<>DH,3,5,
방재 두건<>DH,3,10,
스니커즈<>DF,5,5,
스케이드보드<>DF,5,5,
하이 힐<>DF,5,5,
농구 슈즈<>DF,5,5,
스파이크<>DF,5,5,
스니커즈<>DF,5,5,
스케이드보드<>DF,5,5,
하이 힐<>DF,5,5,
농구 슈즈<>DF,5,5,
스파이크<>DF,5,5,
스니커즈<>DF,5,5,
스케이드보드<>DF,5,5,
하이 힐<>DF,5,5,
농구 슈즈<>DF,5,5,
스파이크<>DF,5,5,
