1,1,회복 아이템,,,
100,8,영양드링크<>SH,50,1,
50,15,죽<>SH,100,1,
25,28,고형통조림<>SH,200,1,
50,14,스포츠드링크<>HH,50,1,
100,8,빵<>HH,25,6,
2,2,무기【검】,,,
10,70,☆호신용단도태양의빛☆<>WK,30,∞,
7,80,☆명검압도☆<>WK,35,∞,
7,80,가보의칼<>WK,35,∞,
7,80,레이피아<>WK,35,∞,
7,80,☆근경☆<>WK,35,∞,
5,90,☆일본도☆<>WK,40,∞,
4,95,☆비검달빛☆<>WK,42,∞,
3,100,가보의칼<>WK,45,∞,
2,100,명검마사무네<>WK,45,∞,
3,3,무기【폭】,,,
10,100,펜슬폭탄<>WD,55,5,
4,4,무기【구】,,,
10,30,테니스라켓<>WB,15,2,
10,30,금속버트<>WB,15,1,
10,40,못버트<>WB,20,1,
10,45,반테이지<>WB,25,2,
5,50,어메리칸 색<>WB,30,1,
3,50,☆갓FINGER☆<>WB,30,1,
2,60,☆황금의피코피코한마☆<>WB,32,1,
5,5,무기【격】,,,
10,75,베레타<>WG,35,2,
5,100,화승총<>WG,50,0,
5,100,☆22구경2연발델린저☆<>WG,50,0,
5,100,☆S&W치프스페셜38구경☆<>WG,50,0,
5,100,☆콜트357매그넘회전식권총☆<>WG,50,0,
5,100,☆브라우닝하이파워9mm☆<>WG,50,0,
4,130,☆39식소총☆<>WG,53,5,
3,160,☆S&W M19357 매그넘☆<>WG,55,0,
2,200,☆바즈카☆<>WGB,75,0,
6,6,방어구【체】,,,
10,40,☆BA-TSU의제복☆<>DB,20,20,
10,40,☆진홍의세라복☆<>DB,20,20,
9,45,☆겐지의요로이☆<>DB,20,25,
7,45,☆서바이벌슈트☆<>DB,20,25,
7,50,☆가면라이더슈트☆<>DB,25,15,
5,70,가보의투구와갑옷<>DB,35,20,
5,70,두<>DH,35,20,
4,75,쇠사슬홑옷<>DB,37,20,
3,90,☆쿠로카와위견자홍사동환☆<>DB,50,15,
2,100,☆투구와갑옷☆<>DB,50,20,
7,7,방어구【두】,,,
10,30,☆안대☆<>DH,5,15,
4,50,☆긴귀두고두☆<>DH,10,5,
4,50,☆군배전립쿠마게식두☆<>DH,10,5,
3,75,☆일륜초승달전립흑옻나무두☆<>DH,15,5,
2,100,☆타이거마스크☆<>DH,20,20,
8,8,방어구【다리】,,,
10,50,☆롤러블레이드☆<>DF,5,10,
6,75,☆행복의구두☆<>DF,10,5,
6,75,☆흑옻나무도불2매몸통도구☆<>DF,10,5,
2,100,☆BR부츠☆<>DF,10,10,
9,9,특수 아이템,,,
20,5,해독제<>Y,1,1,
2,100,레이더-<>R2,1,∞,
30,5,못<>Y,5,1,
10,2,독약<>Y,1,1,
10,5,숫돌<>Y,5,1,
100,2,탄환<>Y,15,1,
10,15,재봉도구<>Y,5,1,
